DJA	NDX	NYA	OEX
1.081669634	0.836676869	1.049085443	1.021146973
1.041570401	1.038593297	1.045952166	1.051136213
0.959279861	0.800120286	0.970598159	0.931776043
1.015158149	0.889011734	0.990952857	0.970612123
0.962552273	0.912968636	0.947751208	0.937715298
1.05157965	0.995419245	1.032962668	1.029552181
1.006100833	0.947456474	1.022439962	0.987070958
1.023602855	1.011378598	1.035234671	1.030997088
0.985323277	0.909842953	0.960085508	0.934972391
1.017190756	1.02234292	1.019349171	1.025794795
0.911536004	0.98595762	0.951584334	0.956989566
0.964794402	0.914018771	0.971619504	0.956432979
1.008049066	1.104873057	1.023837822	1.035606869
0.99019405	0.86311519	0.992288416	0.94314846
0.982823783	0.84855747	0.959199547	0.955565121
0.954194902	0.898944774	0.950743767	0.930317573
0.932555306	0.960700311	0.928443372	0.918300836
0.968765683	0.847533966	0.952682068	0.954998986
1.145452004	1.207762597	1.176176223	1.169926313
1.032931811	0.971014914	1.02381291	1.006588859
0.981506771	0.891373921	0.976758932	0.953981535
1.023961	1.047019051	1.021386554	1.014063209
0.990170351	0.97799891	0.992050713	0.985889502
0.958939745	0.978265856	0.950208209	0.948989431
0.9484934	0.896996139	0.938208749	0.933974857
1.00098664	0.925032442	1.001098299	0.981121611
0.980144744	1.06023233	0.976348657	0.998173675
0.957379872	0.970595235	0.964014136	1.902483119
1.037949384	1.076047939	1.033443146	1.046254422
0.943973885	0.978936527	0.946201484	0.950877078
1.059071853	1.030706205	1.051054027	1.070142933
0.929653467	0.864746213	0.935167565	0.926077278
0.967749316	1.001619137	0.955322595	0.959995355
0.959385152	0.912280336	0.9437732	0.950405226
0.940708324	0.91119647	0.955893127	0.938271605
1.027199433	1.066996211	1.042554151	1.042512208
0.997553731	1.083590057	0.991505614	1.004241809
0.959049959	0.891280994	0.952228678	0.932858253
1.012834246	1.015401286	1.015626544	1.018625517
0.930725255	0.901655855	0.939939092	0.928155552
0.973000854	0.980824213	0.980855384	0.972205083
0.966713847	0.89967054	0.955515506	0.95140379
0.980448482	0.95846708	0.976382748	0.978923795
1.046781667	1.064920363	1.048145225	1.05058814
0.999349082	1.02227964	0.998970532	0.997668062
0.989475398	0.962939962	0.978849129	0.975929538
0.995161715	0.914448127	0.987700327	0.986882802
0.978006108	1.021551936	0.988122369	0.991755063
0.980571963	0.950211133	0.991922023	0.988477806
0.973237842	0.973657531	0.96906038	0.96058758
1.005173605	1.030352463	0.982032921	0.985339295
0.943553647	1.008522536	0.956797358	0.962846206
1.006762563	0.977120144	1.011790832	1.000377779
0.963729929	0.985796814	0.964055514	0.954018234
1.010762971	0.98632037	0.99774839	1.008142954
0.956352507	0.945770637	0.968538141	0.968513948
0.976210869	0.907198483	0.981496124	0.979440154
0.97856249	0.96201598	0.968125359	0.96121021
0.96500556	0.95227447	0.977388991	0.963089794
0.977111167	0.967236945	0.976426254	0.970064088
0.956356373	0.937179191	0.967048322	0.958078181
0.98223452	0.997384847	0.980503523	0.981947722
0.982203529	1.001360477	0.989918481	0.983295616
1.044370591	1.020330023	1.041383984	1.038697891
0.983561162	0.953516523	0.987745492	0.977934122
1.047403133	1.010283103	1.025320157	1.021816313
0.966466924	0.930283991	0.964237368	0.971768847
0.975237598	0.97336287	0.970469537	0.965114911
1.032733547	1.051484874	1.028878276	1.033148094
1.003829459	0.985218424	0.992546267	0.979286591
0.986214863	1.026014735	0.986820235	0.993326909
1.063801752	1.076274285	1.049258331	1.051972934
1.048161267	1.004415654	1.030357201	1.027503689
0.954369549	1.924104447	0.969974223	0.963584554
0.986676611	0.971075625	0.983441871	0.991337959
1.003265743	1.010924087	1.01801357	1.005754686
0.968882582	0.978848293	0.984000642	0.984843177
1.025691938	0.973701057	1.006466004	1.015698364
0.970100915	0.946907286	0.967340162	0.967524281
0.980757995	1.037578111	1.002454833	1.005622451
1.003257027	1.005421646	0.997991587	1.001967654
0.988533313	0.923487544	0.97932383	0.974997605
0.997909402	1.057288679	1.024480631	1.017783455
0.978784444	0.976962885	0.978591742	0.983830486
0.979035388	1.055305576	0.991150168	0.98506108
0.982616286	0.972001835	0.992931978	0.987723186
0.992021917	0.974388162	0.988507512	0.990167406
0.974124224	0.937870413	0.971028346	0.974206854
0.990927991	0.951481825	0.995184558	1.004155668
0.983605847	0.955537462	0.993768161	1.000312337
1.050610374	1.038879235	1.022454202	1.029896961
0.977684002	0.968912334	0.962166416	0.969606629
1.027218823	1.046691897	1.020240304	1.018395956
0.992899448	0.976418909	0.997508275	0.996520315
0.977460689	1.049340609	0.977882998	0.969549142
1.015183336	1.070670175	1.022214785	1.019305122
